Date Start,Date End,Open,High,Low,Close,Volume,Market Cap
"Sep 11, 2023","Sep 12, 2023","$ 1,620.67","$ 1,623.70","$ 1,541.24","$ 1,551.60",$ 9.52B,$ 190.82B
"Sep 10, 2023","Sep 11, 2023","$ 1,643.06","$ 1,643.06","$ 1,610.51","$ 1,621.12",$ 5.02B,$ 195.87B
"Sep 09, 2023","Sep 10, 2023","$ 1,640.94","$ 1,644.11","$ 1,635.66","$ 1,641.25",$ 5.41B,$ 197.15B
"Sep 08, 2023","Sep 09, 2023","$ 1,649.49","$ 1,657.61","$ 1,623.92","$ 1,639.26",$ 8.50B,$ 197.26B
"Sep 07, 2023","Sep 08, 2023","$ 1,635.31","$ 1,660.37","$ 1,627.42","$ 1,649.01",$ 8.51B,$ 197.02B
"Sep 06, 2023","Sep 07, 2023","$ 1,637.58","$ 1,653.35","$ 1,619.88","$ 1,637.69",$ 6.92B,$ 196.55B
"Sep 05, 2023","Sep 06, 2023","$ 1,635.17","$ 1,647.78","$ 1,616.44","$ 1,636.37",$ 7.09B,$ 196.32B
"Sep 04, 2023","Sep 05, 2023","$ 1,640.61","$ 1,647.93","$ 1,624.33","$ 1,634.51",$ 5.75B,$ 196.88B
"Sep 03, 2023","Sep 04, 2023","$ 1,633.46","$ 1,649.17","$ 1,630.98","$ 1,641.08",$ 5.02B,$ 197.26B
"Sep 02, 2023","Sep 03, 2023","$ 1,630.77","$ 1,647.14","$ 1,630.77","$ 1,632.83",$ 7.73B,$ 196.93B
"Sep 01, 2023","Sep 02, 2023","$ 1,650.08","$ 1,656.45","$ 1,607.85","$ 1,632.27",$ 10.67B,$ 197.47B
"Aug 31, 2023","Sep 01, 2023","$ 1,707.90","$ 1,723.24","$ 1,641.95","$ 1,648.70",$ 8.08B,$ 203.71B
"Aug 30, 2023","Aug 31, 2023","$ 1,732.39","$ 1,732.39","$ 1,700.03","$ 1,709.48",$ 13.58B,$ 206.54B
"Aug 29, 2023","Aug 30, 2023","$ 1,656.17","$ 1,744.10","$ 1,644.40","$ 1,730.63",$ 10.42B,$ 202.87B
"Aug 28, 2023","Aug 29, 2023","$ 1,661.91","$ 1,664.72","$ 1,637.14","$ 1,658.36",$ 6.60B,$ 198.97B
"Aug 27, 2023","Aug 28, 2023","$ 1,653.11","$ 1,666.24","$ 1,652.94","$ 1,662.89",$ 4.49B,$ 199.76B
"Aug 26, 2023","Aug 27, 2023","$ 1,657.73","$ 1,659.47","$ 1,650.03","$ 1,654.63",$ 6.89B,$ 199.29B
"Aug 25, 2023","Aug 26, 2023","$ 1,664.98","$ 1,667.36","$ 1,641.67","$ 1,658.18",$ 8.72B,$ 199.44B
"Aug 24, 2023","Aug 25, 2023","$ 1,680.75","$ 1,682.18","$ 1,648.99","$ 1,663.82",$ 12.44B,$ 200.78B
"Aug 23, 2023","Aug 24, 2023","$ 1,639.64","$ 1,693.70","$ 1,633.39","$ 1,678.94",$ 14.90B,$ 199.37B
"Aug 22, 2023","Aug 23, 2023","$ 1,677.01","$ 1,677.09","$ 1,608.82","$ 1,637.94",$ 9.93B,$ 199.85B
"Aug 21, 2023","Aug 22, 2023","$ 1,688.14","$ 1,688.92","$ 1,665.48","$ 1,675.98",$ 9.34B,$ 202.20B
"Aug 20, 2023","Aug 21, 2023","$ 1,678.55","$ 1,694.18","$ 1,671.42","$ 1,689.14",$ 8.97B,$ 202.31B
"Aug 19, 2023","Aug 20, 2023","$ 1,674.34","$ 1,693.63","$ 1,665.52","$ 1,675.89",$ 11.37B,$ 201.88B
"Aug 18, 2023","Aug 19, 2023","$ 1,693.26","$ 1,704.21","$ 1,658.67","$ 1,672.99",$ 23.95B,$ 202.77B
"Aug 17, 2023","Aug 18, 2023","$ 1,810.32","$ 1,811.83","$ 1,592.23","$ 1,690.88",$ 12.05B,$ 213.37B
