Date,Open,High,Low,Close,Volume,High_Low_Diff,Close_Change
"May 3, 2022",301.06,308.03,296.2,303.08,"63,709,500",11.829999999999984,-4.553757006991255
"May 2, 2022",286.92,302.12,282.68,300.98,"75,781,500",19.439999999999998,-0.6928863666358587
"Apr 29, 2022",300.75,311.47,290.0,290.25,"88,133,100",21.470000000000027,-3.565020931623375
"Apr 28, 2022",299.99,300.0,273.9,292.5,"124,948,500",26.100000000000023,0.7751937984496138
"Apr 27, 2022",299.53,306.0,292.45,293.84,"76,956,300",13.550000000000011,0.45811965811966004
"Apr 26, 2022",331.81,333.33,291.67,292.14,"136,133,700",41.65999999999997,-0.5785461475632969
"Apr 25, 2022",326.32,336.21,325.1,332.67,"68,341,200",11.109999999999957,13.873485315259826
"Apr 22, 2022",338.30,344.95,331.33,335.02,"69,696,600",13.620000000000005,0.7064057474373886
"Apr 21, 2022",358.24,364.07,332.14,336.26,"105,416,400",31.930000000000007,0.37012715658766293
"Apr 20, 2022",343.33,344.67,325.08,325.73,"70,711,200",19.590000000000032,-3.131505382739541
"Apr 19, 2022",335.02,344.98,331.78,342.72,"49,847,700",13.200000000000045,5.2159764221901606
"Apr 18, 2022",329.68,338.31,324.47,334.76,"51,715,200",13.839999999999975,-2.32259570494866
"Apr 14, 2022",333.10,337.57,327.4,328.33,"58,422,300",10.170000000000016,-1.9207790655992318
"Apr 13, 2022",327.03,342.08,324.37,340.79,"55,121,100",17.70999999999998,3.794962385404932
"Apr 12, 2022",332.55,340.4,325.53,328.98,"65,976,000",14.870000000000005,-3.4654772733941686
"Apr 11, 2022",326.80,336.16,324.88,325.31,"59,357,100",11.28000000000003,-1.1155693355219265
"Apr 8, 2022",347.74,349.48,340.81,341.83,"55,013,700",8.670000000000016,5.078233069994775
"Apr 7, 2022",350.80,358.86,340.51,352.42,"79,447,200",18.350000000000023,3.0980311850920206
"Apr 6, 2022",357.82,359.67,342.57,348.59,"89,348,400",17.100000000000023,-1.0867714658646
"Apr 5, 2022",378.77,384.29,362.43,363.75,"80,075,100",21.860000000000014,4.348948621589832
"Apr 4, 2022",363.13,383.3,357.51,381.82,"82,035,900",25.79000000000002,4.967697594501708
"Apr 1, 2022",360.38,364.92,355.55,361.53,"54,263,100",9.370000000000005,-5.314022314179456
"Mar 31, 2022",364.86,367.71,358.88,359.2,"48,992,700",8.829999999999984,-0.6444831687550057
"Mar 30, 2022",363.72,371.32,361.33,364.66,"59,865,000",9.990000000000009,1.5200445434298437
"Mar 29, 2022",369.33,371.59,357.7,366.52,"73,614,900",13.889999999999986,0.5100641693632335
"Mar 28, 2022",355.03,365.96,351.2,363.95,"102,506,100",14.759999999999991,-0.7011895667357826
"Mar 25, 2022",336.00,340.6,332.44,336.88,"62,031,600",8.160000000000025,-7.43783486742684
"Mar 24, 2022",336.58,341.5,329.6,337.97,"68,920,800",11.899999999999977,0.32355734979816475
"Mar 23, 2022",326.65,346.9,325.47,333.04,"120,676,200",21.42999999999995,-1.4587093529011441
"Mar 22, 2022",310.00,332.62,307.25,331.33,"105,868,500",25.370000000000005,-0.5134518376171182
"Mar 21, 2022",304.99,314.28,302.36,307.05,"81,981,600",11.919999999999959,-7.328041529592843
"Mar 18, 2022",291.50,302.62,289.13,301.8,"100,414,200",13.490000000000009,-1.7098192476795337
"Mar 17, 2022",277.00,291.67,275.24,290.53,"66,582,900",16.430000000000007,-3.734261100066283
"Mar 16, 2022",269.67,280.67,267.42,280.08,"84,028,800",13.25,-3.596874677313866
"Mar 15, 2022",258.42,268.52,252.19,267.3,"66,841,200",16.329999999999984,-4.5629820051413805
"Mar 14, 2022",260.20,266.9,252.01,255.46,"71,152,200",14.889999999999986,-4.429479985035545
"Mar 11, 2022",280.07,281.27,264.59,265.12,"67,037,100",16.680000000000007,3.7814139199874752
"Mar 10, 2022",283.82,284.82,270.12,279.43,"58,648,500",14.699999999999989,5.397555823777922
"Mar 9, 2022",279.83,286.85,277.34,286.32,"59,184,000",9.510000000000048,2.4657338152667796
"Mar 8, 2022",265.18,283.33,260.72,274.8,"80,399,100",22.609999999999957,-4.02347024308466
"Mar 7, 2022",285.43,288.71,268.19,268.19,"72,494,100",20.519999999999982,-2.405385735080068
"Mar 4, 2022",283.03,285.22,275.05,279.43,"66,999,600",10.170000000000016,4.191058577873896
